Fonds ITIE - 4300;BoŒte;Dossier;Pochette;Sous-pochette;Nombre d'UM;Cotation des UM;Dates des UM;Cahiers;Foliation;"Dimensions 
(L x l x h en cm)";Remarques;D‚chirures (strappi) (0-3);Froissures (spiegazzato) (0-3);Lacunes (0-3);Plis (1-3);Perte de souplesse (0-3);Perte de matiŠre (0-3);PoussiŠre depos‚ (0-3);Affaiblessement (0-3);Foxing (0-3);Jaunissement (0-3);Taches (0-3);Degradation due … l'encre (0-3);Mouillure (umidit…) (0-3);Moisissure (0-3);Trou d'insect (0-3);Risque (1-5);;
;;;;;;Ms 4300/9/55;1580-23 avril;;10;33,2 x 22,7 x 0,7;parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/56;23 avril 1580;;4;29 x 19,9;aur‚oles, moisissures violettes, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/57;1580 27 avril;;2;27,2 x 19,7;aur‚oles, aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/58;1580 ? mai 22;;1;25,5 x 19,5;d‚chirures, lacunes … gauche;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/59;1580 21 juillet;;4;29,5 x 20,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/60/1;1580 27 juillet;;2;24,3 x 16,5;aur‚oles, moisissures violettes, cordelette rose (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/60/2;23 avril 1580;;4;22 x 16,8;aur‚oles, moisissures violettes, cordelette rose (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/60/3;30(?) may 1580;;2;24,1 x 16,7;aur‚oles, moisissures violettes, cordelette rose (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/60/4;25e aout 1580;;4;22 x 16,4;aur‚oles, moisissures violettes, cordelette rose (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/61;1580 oct. 6;;4;27,3 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/62;15 octobre 1580;;6;24,8 x 17 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/63/1;1580 28 8bre;1;12;25,6 x 20;cordelette rose et beige (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/63/2;1584 8 mars;1;5;28 x 20,5;cordelette rose et beige (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/64/1;1580 28 8bre;1;10;28,6 x 21;aur‚oles, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/64/2;1584 8 mars;1;5;28,6 x 22;aur‚oles, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/65;1580 18 8bre;;6;28,3 x 20,4;aur‚oles, rousseurs … gauche, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/66;1580 26 9bre;;4;26,8 x 17,9;d‚chirures, lacunes, taches brunes, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/67;1580 28 9bre;;3;28,6 x 20,7;plis, d‚chirures, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/68;vers 1580;;4;27,5 x 20,5;;;;;;;;;;;;;;;;;;;
;;1581/1582;;;87;Ms 4300/9/69;1581 11 janv;;1;29,5 x 20,2;d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/70;1581 18 fevr;;2;27,8 x 19,3;aur‚oles, taches brunes, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/71;1581 22 fevr;;2;27,9 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/72;8 mars 1581;;4;27,8 x 20;aur‚oles, feuillets 2 et 3 : aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/73;1581 11 mars;;8;27,5 x 18,7 x 0,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/74;1581 12 mars ;;1;28,2 x 19,5;aur‚oles, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/75;21 mars 1581;;4;25,8 x 19,1;aur‚oles, aspect cotonneux, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/76;21 mars 1581;;4;25,8 x 19;aur‚oles, aspect cotonneux, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/77;1581.21 mars;;1;31,2 x 21,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/78/1;1581 21 mars ;1;6;25,8 x 18,9;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/78/2;P... septembre 1581;1;10;25,8 x 18,9;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/79;1581 9 avril ;;4;26,4 x 18,9 x 0,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/80;1581 29 avril;;2;28,7 x 20,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/81;1581 29 avril;;2;28,7 x 20,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/82;1581 29 avril;;2; 28,8 x 20,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/83;1581_14 juin;;10;29,5 x 21,1;feuillets en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/84;1581 juin 26;;4;27,2 x 18,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/85;1581 30 juin;;1;27,9 x 25,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/86;1581_12 juillet;;8;28,7 x 21 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/87/1;1581 xbre … 1584 19 ao–t;;1;15,7 x 12,7;cordelette (avant), feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/87/2;1580 xbre ?;;2;32,9 x 22,2;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/87/3;1581 Decembre;;1;8,4 x 23,6;cordelette (avant), feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/87/4;1582 mars;;1;11,2 x 22,8;cordelette (avant), feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/87/5;1482 14 avril;;2;32,9 x 2,7;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/87/6;1582 juin;;1;10,4 x 24,4;cordelette (avant), feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/87/7;1582 19 ao–t;;2;34,6 x 23,5;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/87/8;1582 22 ao–t;;2;34 x 23,5;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/87/9;1583 mars;;1;12 x 24;cordelette (avant), feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/87/10;1583 Juin;;1;9,6 x 22;cordelette (avant), feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/87/11;1583 19 ao–t;;2;28 x 20,5;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/87/12;1584 17 mars;;2;28,2 x 20,5;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/87/13;1584 15 mai;;2;28 x 20,7;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/87/14;1584 juin;;1;11,7 x 22,7;cordelette (avant), feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/87/15;1584 19 ao–t;;2;27,9 x 20;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/88;1581 23 ao–t;;2;28 x 18,7;aur‚oles, aspect cotonneux, large lacune au niveau du coin sup‚rieur gauche;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/89/1;1581 ao–t 23;;2;33,8 x 22,9;reli‚ par clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/89/2;1582;;2;33,8 x 22,9;reli‚ par clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/90;1581.25 7bre;;14;28,4 x 20,3;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/91/1;1581.9 9bre;;2;25,4 x 18,7;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/91/2;1582 24 Janv;;1;29,4 x 20;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/91/3;1582 24 Janv;;1;29,3 x 20,2;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/91/4;1582 26 fevr;;2;29,2 x 20,1;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/91/5;1582 11 mars;;2;28 x 20,4;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/91/6;1584 13 avril;;2;27,8 x 20,1;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/91/7;158 juin;;1;25,8 x 18,3;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/91/8;sans date;;2;25,8 x 18,3;cordelette rose (avant), possible suite du Ms 4300/9/91/7;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/91/9;1586 Janv;;2;29,3 x 20,1;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/92;1581 17 9bre;3;26;32,8 x 21,7 x 0,7;Reli‚ par cordelette;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/93;1581 18 9bre;;6;28,2 x 19,3;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/94;1581 31 Novbre;;7;28 x 20,4;aur‚oles, lacune;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/95;1581;;4;29,3 x 20,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/96;vers 1581;;30;28,5 x 22 x 1,4;aur‚oles, moisissures, traces d'infestation (galeries);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/97;1581 … 1585;;5;28 x 20,8;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/98;1582 15 janv;;4;27,8 x 20,3;aur‚oles, moisissures noires;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/99;1582 janv;;8;28,2 x 20,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/100;1582 fevrier 8;;2;29,3 x 20,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/101;1582 1er mai;;6;28,2 x 20,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/102;1582 2 mai;;6;28,3 x 20,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/103;1582 11 mai;;1;24,9 x 18,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/104/1;1682 1er juin;;4;28,4 x 19,7;aur‚oles, taches brunes, reli‚ par parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/104/2;1582 16 mai;;1;18,5 x 19,8;reli‚ par parchemin (avant), feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/105;1582 19 mai;;2;25,5 x 21,6;aur‚oles, moisissures violettes, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/106;1582 mai 26;;2;33,7 x 22,8;aur‚oles, plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/107;1582_29 mai;;22;29,2 x 20,4 x 0,7;taches color‚es sur feuillets 9 et 10;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/108/1;1582.19 juin;;4;24,4 x 16,2;cordelette rose en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/108/2;1582 19 Juin;;2;24,2 x 15,9;cordelette rose en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/108/3;1583 2 Juin ;;1;27,3 x 18,7;cordelette rose en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/108/4;1583 5 ao–t;;2;24,3 x 16;cordelette rose en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/108/5;1583 9 aout;;8;24,3 x 16,4;cordelette rose en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/108/6;1583 12 ao–t;;2;24,3 x 16;cordelette rose en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/108/7;1583 24 xbre;;4;24,2 x 16,1;cordelette rose en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/108/8;1583 29 xbre;;2;24,7 x 16,7;cordelette rose en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/108/9;1584 31 mars;;2;27,8 x 19,8;cordelette rose en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/109;1582 27 juin;;4;29,2 x 20,6 ;d‚chirures, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/110;1582 30 juin;;2;33,7 x 22,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/111;1582 9 juillet;;4;24,7 x 16,7;aur‚oles, aspect cotonneux, lacunes au niveau du pli reliure;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/112;1582 25 juillet;;1;25 x 17,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/113;1582.25 juillet ;;8;25,2 x 18,4;cordelette rose;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/114;1582 22 ao–t;;29;28 x 21 x 0,6;aur‚oles, moisissures noires;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/115;1582 30 ao–t;;4;26,4 x 18,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/116;1582 2 7bre;;4;28,2 x 20,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/117;1582 29 7bre;;2;26,3 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/118;1582 25 8bre;;8;26,3 x 18,8;reli‚ par clou;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/119;1582 18 9bre;;1;15,8 x 20;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/120;1582.30 9bre;;4;27,7 x 20;taches brunes, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/121;1582 3 xbre;;2;28,1 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/9/122;1582 x bre;;5;28,3 x 20,7;;;;;;;;;;;;;;;;;;;
;"4300/10
1583 … 1587";1583 et 1584;;;70;Ms 4300/10/1;1583.21 janviuer;;6;28 x 21;d‚chirures ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/2;1583 22 fevr;;22;28,2 x 20,8 x 0,6;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/3;23 fevr_1583;;1;14,9 x 20,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/4;1583 9 mars;;2;27,8 x 20,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/5;1583 10 mars;;2;27,4 x 19,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/6/1;1583 12 mars;;1;28,5 x 20,3;taches brunes, cordelette en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/6/2;1583 22 mars ;;1;28,5 x 20,3;cordelette en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/7;1583 22 mars ;;2;27,8 x 29,8;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/8;1583 22 mars ;;1;27,3 x 19,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/9;1583 22 mars ;;1;28,2 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/10;1583 22 mars ;;1;27,7 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/11;1583 22 mars ;;1;27,7 x 19,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/12;1583 22 mars ;;1;27,4 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/13;1583 22 mars ;;1;27,2 x 19,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/14/1;1583 18 mars;;2;27,6 x 20;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/14/2;1583 mars 21;;1;27,5 x 20,3;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/14/3;sans date ;;1;11,4 x 20,5;cordelette rose (avant), feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/14/4;1583 20 mars;;2;28,2 x 20,4;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/14/5;1583 22 avril;;2;24 x 16,1;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/15/1;1583 mars 18;;2;24,2 x 16,4;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/15/2;1592 3 Janvier;;;;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/16;1583 5 avril;;2;27,6 x 19,5;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/17;1583 17 avril;;3;27,1 x 20,2;aur‚oles en bas;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/18;1583 24 avril;;10;26,4 x 19,9;taches brunes, migration de l'encre;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/19;1583 12 mai;;1;27,2 x 20,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/20;1583 12 mai;;1;27 x 19,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/21;1583 13 mai;;1;27,6 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/22;1583 27 mai;;2;27,7 x 20,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/23;1583 juillet 2;;6;28,7 x 20,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/24;1583_17 juillet;;6;28 x 20,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/25;1583.29 juillet;;4;26,4 x 18,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/26;1583.21 ao–t;;48;28,3 x 21,2 x 1,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/27;1583 24 ao–t;;11;28,1 x 19,7 x 0,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/28;1583_29 octobre;;4;27,6 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/29;1583 5 9bre;;1;28,3 x 19,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/30;1583 12 9bre;;6;29 x 20,5;aur‚oles, lacunes, moisissures violettes, fragile en bas;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/31;1583 11 xbre;;1;28 x 20,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/32;1583 16 9bre;;1;28 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/33;1583 13 xbre;;1;28,1 x 19;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/34;1583 13 xbre;;2;28,4 x 19,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/35;1583 xbre;;1;15,9 x 11;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/36;1583;;2;27,5 x 20,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/37;1583;;6;27,9 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/38;1583;;38;19,6 x 14,3 x 1,1;couverture en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/39;1584;;2;27,9 x 20;reli‚ par clou, aspect cotonneux, d‚chirures, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/40;1584;;6;27,8 x 20,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/41;1584 24 janv;;1;14 x 20,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/42;1584 8 mars;;4;26,7 x 18,9;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/43;1584.22 mars;;4;26,5 x 19,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/44;1584 29 mars;;8;36 x 22,9 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/45;1584 13 juin;;2;28,2 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/46;1584 21 juin;;2;13,5 x 19,7;aur‚oles, aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/47/1;23 juin 1584;;2;28,3 x 20,2;aur‚oles, aspect cotonneux, moisissure violette, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/47/2;23 juin 1584;;2;28,3 x 20,2;aur‚oles, aspect cotonneux, moisissure violette, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/47/3;28 fevrier 1588;;4;28,3 x 20,2;aur‚oles, aspect cotonneux, moisissure violette, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/48;1584 30 juin;;2;26,2 x 18,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/49;1584 6 juillet;;4;28,2 x 20,4;d‚chirures, aur‚oles, cordelette;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/50;1584 17 juillet;;1;27,9 x 19,8;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/51;1584 18 7bre;;2;26,3 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/52;1584 22 7bre;;2;24,5 x 16,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/53/1;1584 20 8bre;;2;29,5 x 20,5;aur‚oles, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/53/2;1584 3 9bre;;2;29,5 x 20,5;aur‚oles, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/54;1584 3 9bre;;1;27,2 x 19,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/55;1584 10 9bre;;2;27,1 x 18,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/56;1584 15 xbre;;4;27 x 18,6 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/57/1;1584 17 xbre;;6;28,2 x 18,8;aur‚oles, cordelette en bas (parchemin);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/57/2;1587;;2;27 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/58;1584-d‚cembre 21;;30;28,5 x 19,2 x 0,7;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/59/1;29 octob. 1584;;1;25,6 x 18,8;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/59/2;29 octob. 1584;;1;27,3 x 20;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;1585-86-87;;;101;Ms 4300/10/60;1587.7 janv;;2;26,7 x 19,9;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/61;1585 1er janv;;4;28,3 x 20,4 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/62;1585 janv. 24;;2;26,9 x 19,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/63/1;1585 20 mars;;2;24,1 x 16,2;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/63/2;1585 21 mars;;2;24 x 16,2;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/63/3;sans date;;2;27,4 x 19,9   ;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/63/4;sans date;;1;24,2 x 17,8;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/63/5;1585 5 avril;;2;24,2 x 16,4;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/64;1585 13 avril;;2;29 x 19,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/65;1585 24 avril;;8;25,9 x 18,6;traces de sceau rouge en haut;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/66;1585 25 avril … 1586 2 ao–t;;20;25,4 x 18,9 x 0,5;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/67/1;1585 26 avril;;2;25,3 x 17,3;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/67/2;1625 29 Janv;;2;26,5 x 20;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/67/3;1628 22 mai;;1;30,3 x 20,1;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/67/4;1626 29 mai;;1;30,3 x 20;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/67/5;1628 24 mai;;1;30,2 x 19,8;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/67/6;vers 1628;;1;26,1 x 19,2;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/68;1585 26 avril;;8;26,4 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/69;1585 17 mai;;6;26,3 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/70;1585 juin 17;;2;27,5 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/71;1585 14 juin;;1;29,2 x 20,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/72;1585 26 juin;;2;28,1 x 19,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/73;1585 juin;;2;27,7 x 19,7;aur‚oles, taches brunes, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/74;1585 1er juillet;;12;28,1 x 20 x 0,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/75;1585 20 juillet;;14;27,2 x 19,2 x 0,4;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/76;1585 16 ao–t;;14;27 x 20,2 x 0,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/77;1585 16 ao–t;;12;28 x 20,5;aur‚oles (en bas);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/78;1585 7 xbre;;5;33,4 x 21,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/79;vers 1585;;6;28 x 19,7 ;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/10/80;1586 16 mai;;2;26,1 x 18,1;aur‚oles;;;;;;;;;;;;;;;;;;
